상품링크,모델명,원본 상품명,크롤링된 상품명,상품구성,최저가,배송비,배송비포함가,배송비정보,쇼핑몰,크롤링시간
https://search.shopping.naver.com/catalog/35316945627,CGN00965,CGN 락토비프 프로바이오틱스 300억 유산균 60캡슐,캘리포니아골드뉴트리션 LactoBif 프로바이오틱 300억 CFU 60캡슐,상품구성: 1개,22490,0,22490,"배송비
무료",비타케어365,2025-08-29 17:40:48
https://search.shopping.naver.com/catalog/35316945627,CGN00965,CGN 락토비프 프로바이오틱스 300억 유산균 60캡슐,캘리포니아골드뉴트리션 LactoBif 프로바이오틱 300억 CFU 60캡슐,상품구성: 2개,42330,0,42330,"배송비
무료",세이브비타,2025-08-29 17:40:52
https://search.shopping.naver.com/catalog/35316945627,CGN00965,CGN 락토비프 프로바이오틱스 300억 유산균 60캡슐,캘리포니아골드뉴트리션 LactoBif 프로바이오틱 300억 CFU 60캡슐,상품구성: 3개,57650,0,57650,"배송비
무료",G마켓,2025-08-29 17:40:56
https://search.shopping.naver.com/catalog/35316945627,CGN00965,CGN 락토비프 프로바이오틱스 300억 유산균 60캡슐,캘리포니아골드뉴트리션 LactoBif 프로바이오틱 300억 CFU 60캡슐,상품구성: 4개,84680,0,84680,"배송비
무료",옥션,2025-08-29 17:41:00
https://search.shopping.naver.com/catalog/35316945627,CGN00965,CGN 락토비프 프로바이오틱스 300억 유산균 60캡슐,캘리포니아골드뉴트리션 LactoBif 프로바이오틱 300억 CFU 60캡슐,상품구성: 5개,117250,0,117250,"배송비
무료",옥션,2025-08-29 17:41:04
https://search.shopping.naver.com/catalog/35316945627,CGN00965,CGN 락토비프 프로바이오틱스 300억 유산균 60캡슐,캘리포니아골드뉴트리션 LactoBif 프로바이오틱 300억 CFU 60캡슐,상품구성: 6개,123890,30000,153890,"배송비
30,000원 포함",쿠팡,2025-08-29 17:41:09
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가 800 1000mg x 90캡슐 1개,개당 수량: 30캡슐 | 수량: 1개,13500,0,13500,"배송비
무료",비타케어365,2025-08-29 17:41:28
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가 800 1000mg x 90캡슐 1개,개당 수량: 30캡슐 | 수량: 2개,26090,4500,30590,"배송비
4,500원 포함",옥션,2025-08-29 17:41:34
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가 800 1000mg x 90캡슐 1개,개당 수량: 30캡슐 | 수량: 3개,31440,0,31440,"배송비
무료",옥션,2025-08-29 17:41:39
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가 800 1000mg x 90캡슐 1개,개당 수량: 30캡슐 | 수량: 4개,43400,0,43400,"배송비
무료",옥션,2025-08-29 17:41:44
