상품링크,모델명,원본 상품명,크롤링된 상품명,최저가,배송비,배송비포함가,배송비정보,쇼핑몰,크롤링시간,개당_수량,맛,상품구성,수량,용량
https://search.shopping.naver.com/catalog/35316945627,CGN00965,CGN 락토비프 프로바이오틱스 300억 유산균 60캡슐,캘리포니아골드뉴트리션 LactoBif 프로바이오틱 300억 CFU 60캡슐,22990,0,22990,"배송비
무료",비타케어365,2025-09-03 16:32:05,,,1개,,
https://search.shopping.naver.com/catalog/35316945627,CGN00965,CGN 락토비프 프로바이오틱스 300억 유산균 60캡슐,캘리포니아골드뉴트리션 LactoBif 프로바이오틱 300억 CFU 60캡슐,44860,0,44860,"배송비
무료",세이브비타,2025-09-03 16:32:07,,,2개,,
https://search.shopping.naver.com/catalog/35316945627,CGN00965,CGN 락토비프 프로바이오틱스 300억 유산균 60캡슐,캘리포니아골드뉴트리션 LactoBif 프로바이오틱 300억 CFU 60캡슐,58350,0,58350,"배송비
무료",G마켓,2025-09-03 16:32:10,,,3개,,
https://search.shopping.naver.com/catalog/35316945627,CGN00965,CGN 락토비프 프로바이오틱스 300억 유산균 60캡슐,캘리포니아골드뉴트리션 LactoBif 프로바이오틱 300억 CFU 60캡슐,85630,0,85630,"배송비
무료",옥션,2025-09-03 16:32:13,,,4개,,
https://search.shopping.naver.com/catalog/35316945627,CGN00965,CGN 락토비프 프로바이오틱스 300억 유산균 60캡슐,캘리포니아골드뉴트리션 LactoBif 프로바이오틱 300억 CFU 60캡슐,117250,0,117250,"배송비
무료",옥션,2025-09-03 16:32:16,,,5개,,
https://search.shopping.naver.com/catalog/35316945627,CGN00965,CGN 락토비프 프로바이오틱스 300억 유산균 60캡슐,캘리포니아골드뉴트리션 LactoBif 프로바이오틱 300억 CFU 60캡슐,122700,30000,152700,"배송비
30,000원 포함",쿠팡,2025-09-03 16:32:19,,,6개,,
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가3 800 100mg x 30캡슐 1개,13500,0,13500,"배송비
무료",비타케어365,2025-09-03 16:32:36,30캡슐,,,1개,
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가3 800 100mg x 30캡슐 2개,26090,4500,30590,"배송비
4,500원 포함",옥션,2025-09-03 16:32:39,30캡슐,,,2개,
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가3 800 100mg x 30캡슐 3개,31440,0,31440,"배송비
무료",옥션,2025-09-03 16:32:42,30캡슐,,,3개,
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가3 800 100mg x 30캡슐 4개,43680,0,43680,"배송비
무료",옥션,2025-09-03 16:32:45,30캡슐,,,4개,
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가3 800 100mg x 30캡슐 6개,63800,9900,73700,"배송비
9,900원 포함",티티엑스,2025-09-03 16:32:48,30캡슐,,,6개,
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가 800 1000mg x 90캡슐 1개,25750,0,25750,"배송비
무료",옥션,2025-09-03 16:32:56,90캡슐,,,1개,
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가 800 1000mg x 90캡슐 2개,53190,0,53190,"배송비
무료",옥션,2025-09-03 16:33:00,90캡슐,,,2개,
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가 800 1000mg x 90캡슐 3개,79780,0,79780,"배송비
무료",옥션,2025-09-03 16:33:02,90캡슐,,,3개,
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가 800 1000mg x 90캡슐 4개,105500,0,105500,"배송비
무료",W.wanted,2025-09-03 16:33:05,90캡슐,,,4개,
